Company,Item,Calories,Carb_g,Fat_g,Fiber_g,Protein,Sodium
McDonalds,Egg McMuffin,300,31,13.0,4,17,750
McDonalds,Egg White Delight,250,30,8.0,4,18,770
McDonalds,Sausage McMuffin,370,29,23.0,4,14,780
McDonalds,Sausage McMuffin with Egg,450,30,28.0,4,21,860
McDonalds,Sausage McMuffin with Egg Whites,400,30,23.0,4,21,880
McDonalds,Steak & Egg McMuffin,430,31,23.0,4,26,960
McDonalds,"Bacon, Egg & Cheese Biscuit (Regular Biscuit)",460,38,26.0,2,19,1300
McDonalds,"Bacon, Egg & Cheese Biscuit (Large Biscuit)",520,43,30.0,3,19,1410
McDonalds,"Bacon, Egg & Cheese Biscuit with Egg Whites (Regular Biscuit)",410,36,20.0,2,20,1300
McDonalds,"Bacon, Egg & Cheese Biscuit with Egg Whites (Large Biscuit)",470,42,25.0,3,20,1420
McDonalds,Sausage Biscuit (Regular Biscuit),430,34,27.0,2,11,1080
McDonalds,Sausage Biscuit (Large Biscuit),480,39,31.0,3,11,1190
McDonalds,Sausage Biscuit with Egg (Regular Biscuit),510,36,33.0,2,18,1170
McDonalds,Sausage Biscuit with Egg (Large Biscuit),570,42,37.0,3,18,1280
McDonalds,Sausage Biscuit with Egg Whites (Regular Biscuit),460,34,27.0,2,18,1180
McDonalds,Sausage Biscuit with Egg Whites (Large Biscuit),520,40,32.0,3,18,1290
McDonalds,Southern Style Chicken Biscuit (Regular Biscuit),410,41,20.0,2,17,1180
McDonalds,Southern Style Chicken Biscuit (Large Biscuit),470,46,24.0,3,17,1290
McDonalds,Steak & Egg Biscuit (Regular Biscuit),540,38,32.0,2,25,1470
McDonalds,"Bacon, Egg & Cheese McGriddles",460,48,21.0,2,19,1250
McDonalds,"Bacon, Egg & Cheese McGriddles with Egg Whites",400,47,15.0,2,20,1250
McDonalds,Sausage McGriddles,420,44,22.0,2,11,1030
McDonalds,"Sausage, Egg & Cheese McGriddles",550,48,31.0,2,20,1320
McDonalds,"Sausage, Egg & Cheese McGriddles with Egg Whites",500,46,26.0,2,21,1320
McDonalds,"Bacon, Egg & Cheese Bagel",620,57,31.0,3,30,1480
McDonalds,"Bacon, Egg & Cheese Bagel with Egg Whites",570,55,25.0,3,30,1480
McDonalds,"Steak, Egg & Cheese Bagel",670,56,35.0,3,33,1510
McDonalds,Big Breakfast (Regular Biscuit),740,51,48.0,3,28,1560
McDonalds,Big Breakfast (Large Biscuit),800,56,52.0,4,28,1680
McDonalds,Big Breakfast with Egg Whites (Regular Biscuit),640,50,37.0,3,26,1590
McDonalds,Big Breakfast with Egg Whites (Large Biscuit),690,55,41.0,4,26,1700
