,Company,Calories,Fat (g),Carb. (g),Fiber (g),Protein,Sodium
Starbucks Signature Hot Chocolate,Starbucks,430,26,45,5,12,115
Ombré Pink Drink,Starbucks,-,-,-,-,-,-
Pink Drink,Starbucks,-,-,-,-,-,-
White Chocolate Mocha,Starbucks,360,11,53,0,14,240
Cinnamon Dolce Frappuccino® Blended Coffee,Starbucks,350,4.5,64,0,15,0
Violet Drink,Starbucks,-,-,-,-,-,-
Evolution Fresh™ Cold-Pressed Apple Berry Juice,Starbucks,-,-,-,-,-,-
Evolution Fresh™ Defense Up,Starbucks,-,-,-,-,-,-
Hot Chocolate,Starbucks,320,9,47,4,14,160
Iced Coffee,Starbucks,0,0,0,0,0,0
Iced Coffee with Milk,Starbucks,-,-,-,-,-,-
Chocolate Smoothie,Starbucks,320,5,53,8,20,170
Iced White Chocolate Mocha,Starbucks,300,8,47,0,10,190
Strawberry Smoothie,Starbucks,300,2,60,7,16,130
Starbucks® Caramel Iced Coffee,Starbucks,-,-,-,-,-,-
Starbucks® Iced Coffee + Milk,Starbucks,-,-,-,-,-,-
Starbucks® Low Calorie Iced Coffee + Milk,Starbucks,-,-,-,-,-,-
Starbucks® Vanilla Iced Coffee,Starbucks,-,-,-,-,-,-
Caffè Mocha,Starbucks,290,8,42,4,13,140
Mocha Frappuccino® Blended Coffee,Starbucks,280,2.5,60,2,4,220
Cinnamon Dolce Latte,Starbucks,260,6,40,0,11,150
Iced Coconutmilk Mocha Macchiato,Starbucks,260,9,34,0,11,180
Caramel Macchiato,Starbucks,250,7,35,0,10,150
Coconutmilk Mocha Macchiato,Starbucks,250,9,32,0,12,180
Iced Caramel Macchiato,Starbucks,250,7,37,0,10,150
Vanilla Latte,Starbucks,250,6,37,0,12,150
Iced Caffè Mocha,Starbucks,230,6,36,4,9,90
Starbucks® Doubleshot Protein Dark Chocolate,Starbucks,210,2.5,33,2,20,115
Starbucks® Doubleshot Protein Vanilla,Starbucks,200,2.5,34,2,20,120
Iced Cinnamon Dolce Latte,Starbucks,200,4,34,0,7,95
Cinnamon Dolce Crème,Starbucks,200,6,28,0,10,135
Vanilla Crème,Starbucks,200,6,28,0,10,135
Caffè Latte,Starbucks,190,7,19,0,13,170
Iced Vanilla Latte,Starbucks,190,4,30,0,7,100
Latte Macchiato,Starbucks,190,7,19,0,12,160
Latte Macchiato,Starbucks,190,7,19,0,12,160
Flat White,Starbucks,180,7,18,0,12,160
Tazo® Bottled Black Mango,Starbucks,150,0,38,0,0,15
Tazo® Bottled Giant Peach,Starbucks,150,0,37,0,0,15
Tazo® Bottled Tazoberry,Starbucks,150,0,38,0,0,15
Tazo® Bottled Black Mango,Starbucks,150,0,38,0,0,15
Tazo® Bottled Giant Peach,Starbucks,150,0,37,0,0,15
Iced Espresso Classics - Skinny Caramel Macchiato,Starbucks,-,-,-,-,-,-
Iced Espresso Classics - Skinny Vanilla Latte,Starbucks,-,-,-,-,-,-
Starbucks Doubleshot® Energy Coffee Drink,Starbucks,-,-,-,-,-,-
Starbucks Doubleshot® Energy Mexican Mocha,Starbucks,-,-,-,-,-,-
Starbucks Doubleshot® Energy Mocha Drink,Starbucks,-,-,-,-,-,-
Starbucks Doubleshot® Energy Vanilla Drink,Starbucks,-,-,-,-,-,-
Starbucks Doubleshot® Energy White Chocolate Drink,Starbucks,-,-,-,-,-,-
Starbucks Doubleshot® Energy+Cinnamon Dolce Drink,Starbucks,-,-,-,-,-,-
Starbucks Doubleshot® Espresso Cubano,Starbucks,-,-,-,-,-,-
Starbucks Doubleshot® Espresso Drink,Starbucks,-,-,-,-,-,-
Starbucks Doubleshot® Espresso Salted Caramel Cream,Starbucks,-,-,-,-,-,-
Starbucks Doubleshot® Light Espresso Drink,Starbucks,-,-,-,-,-,-
Starbucks Doubleshot® Protein Caramel,Starbucks,-,-,-,-,-,-
Tazo® Bottled Tazoberry,Starbucks,150,0,38,0,0,15
Iced Espresso Classics - Caffe Mocha,Starbucks,140,2.5,23,0,5,90
Starbucks® Bottled Caramel Frappuccino® Coffee Drink,Starbucks,-,-,-,-,-,-
Starbucks® Bottled Coffee Frappuccino® Coffee Drink,Starbucks,-,-,-,-,-,-
"Starbucks® Bottled Cold Brew Black, Unsweetened",Starbucks,-,-,-,-,-,-
Starbucks® Bottled Cold Brew Cocoa and Honey with Cream,Starbucks,-,-,-,-,-,-
Starbucks® Bottled Dulce de Leche Frappuccino® Coffee Drink,Starbucks,-,-,-,-,-,-
Starbucks® Bottled Mocha Frappuccino® Coffee Drink,Starbucks,-,-,-,-,-,-
Starbucks® Bottled Mocha Light Frappuccino® Coffee Drink,Starbucks,-,-,-,-,-,-
Starbucks® Bottled S'mores Frappuccino® Coffee Drink,Starbucks,-,-,-,-,-,-
